"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
4381, 3158.04656433658, 1500.29847327507, 3158.04656433658, 3496.30570909204, 84.7943741011154, 228.296969631034, 84.7943741011154
4382, 3128.36266599616, 1486.17326830803, 3158.04656433658, 3496.30570909204, 84.012128230304, 225.35497088984, 84.7943741011154
4383, 3080.96795658536, 1463.63430782653, 3158.04656433658, 3496.30570909204, 82.8103815529866, 220.74143614962, 84.7943741011154
4384, 2924.13514774292, 1389.24998717027, 3158.04656433658, 3496.30570909204, 78.9607720092994, 205.97422463382, 84.7943741011154
4385, 2904.60151564676, 1380.03425230771, 3158.04656433658, 3496.30570909204, 78.4773965047905, 204.170774641033, 84.7943741011154
4386, 3034.44833815347, 1441.56133326652, 3158.04656433658, 3496.30570909204, 81.6012027818518, 216.247479125372, 84.7943741011154
4387, 3380.78093997739, 1606.60554620816, 3380.78093997739, 3743.10848696925, 90.6780348121054, 251.148633122966, 90.6780348121054
4388, 3503.35322395422, 1665.4097627173, 3503.35322395422, 3879.05574715607, 94.1669857486974, 264.473606618917, 94.1669857486974
4389, 3544.33869428969, 1685.13115388261, 3544.33869428969, 3924.5386716944, 95.3490634025282, 269.019869317991, 95.3490634025282
4390, 3532.65069921041, 1679.53291937223, 3544.33869428969, 3924.5386716944, 94.9962759117367, 267.707974722245, 95.3490634025282
4391, 3461.35585725869, 1645.31658972575, 3544.33869428969, 3924.5386716944, 92.9238080677698, 259.829804865146, 95.3490634025282
4392, 3111.75361375121, 1478.31183043265, 3544.33869428969, 3924.5386716944, 83.4980536428442, 223.687778766577, 95.3490634025282
4393, 2995.94711788301, 1423.34382371682, 3544.33869428969, 3924.5386716944, 80.5725947258144, 212.539630689819, 95.3490634025282
4394, 2835.86337316439, 1347.59344797235, 3544.33869428969, 3924.5386716944, 76.7593253535079, 197.898216553554, 95.3490634025282
4395, 2808.24654320493, 1334.58249027869, 3544.33869428969, 3924.5386716944, 76.1208983262438, 195.449465068362, 95.3490634025282
4396, 2898.1274439968, 1377.0495345783, 3544.33869428969, 3924.5386716944, 78.2100283196676, 203.486991584228, 95.3490634025282
4397, 2989.71539988791, 1420.41421544511, 3544.33869428969, 3924.5386716944, 80.4022135971997, 211.929844294612, 95.3490634025282
4398, 3184.0879393669, 1512.75452389352, 3544.33869428969, 3924.5386716944, 85.3189718939224, 230.779179731801, 95.3490634025282
4399, 3436.09961490511, 1633.15408183258, 3544.33869428969, 3924.5386716944, 92.1849822218331, 257.050311274236, 95.3490634025282
4400, 3597.44551347302, 1710.6750600868, 3597.44551347302, 3983.46876272554, 96.8844486147295, 274.973053412559, 96.8844486147295
4401, 3763.21808313512, 1790.66668840831, 3763.21808313512, 4167.52894773513, 101.920956520348, 294.235722857806, 101.920956520348
4402, 3696.72720622504, 1758.60184777984, 3763.21808313512, 4167.52894773513, 99.8793680690729, 286.409821384086, 101.920956520348
4403, 3613.98958610874, 1718.6966936264, 3763.21808313512, 4167.52894773513, 97.3883200704455, 276.867530379616, 101.920956520348
4404, 3292.70752391326, 1564.54509421891, 3763.21808313512, 4167.52894773513, 88.3067675511985, 241.967571811708, 101.920956520348
4405, 2999.19660012652, 1424.80587050818, 3763.21808313512, 4167.52894773513, 80.7468471737757, 212.956319927309, 101.920956520348
4406, 2796.26092327204, 1328.82234346333, 3763.21808313512, 4167.52894773513, 75.9446508158639, 194.513017974391, 101.920956520348
4407, 2571.18520688584, 1222.93079364405, 3763.21808313512, 4167.52894773513, 71.0289127307806, 175.60778807253, 101.920956520348
4408, 2513.53902342387, 1195.96898729577, 3763.21808313512, 4167.52894773513, 69.8347886523967, 171.024301701908, 101.920956520348
4409, 2591.85666039441, 1232.75107678448, 3763.21808313512, 4167.52894773513, 71.4253127764, 177.232852294123, 101.920956520348
4410, 2790.35919046828, 1326.17121659065, 3763.21808313512, 4167.52894773513, 75.7372669376618, 193.897545914165, 101.920956520348
4411, 3354.37789623335, 1593.97794884733, 3763.21808313512, 4167.52894773513, 89.8887831589967, 248.288063721811, 101.920956520348
4412, 3323.73744239502, 1579.40542886486, 3763.21808313512, 4167.52894773513, 89.0609025622654, 245.086932236449, 101.920956520348
4413, 3274.17530689963, 1555.70140926443, 3763.21808313512, 4167.52894773513, 87.7544032329207, 239.991760975781, 101.920956520348
4414, 3254.9178651234, 1546.51017693472, 3763.21808313512, 4167.52894773513, 87.2334367964086, 238.011327557808, 101.920956520348
4415, 3139.58328952858, 1491.54316467033, 3763.21808313512, 4167.52894773513, 84.2190497079065, 226.427862586049, 101.920956520348
4416, 2996.664981777, 1423.6426200328, 3763.21808313512, 4167.52894773513, 80.6449395753769, 212.679476487437, 101.920956520348
4417, 2800.15428611869, 1330.71024197756, 3763.21808313512, 4167.52894773513, 75.9674820055638, 194.779244355855, 101.920956520348
4418, 2611.65467530886, 1241.96707877524, 3763.21808313512, 4167.52894773513, 71.8383826118296, 178.844570132913, 101.920956520348
4419, 2449.38030107357, 1165.92117347311, 3763.21808313512, 4167.52894773513, 68.5215349078774, 166.029475095867, 101.920956520348
4420, 2442.74707630832, 1162.88374964056, 3763.21808313512, 4167.52894773513, 68.387669651684, 165.519713068897, 101.920956520348
4421, 2465.33492803962, 1173.45883640701, 3763.21808313512, 4167.52894773513, 68.8349518454024, 167.24724940252, 101.920956520348
4422, 2561.79830588937, 1218.64907830789, 3763.21808313512, 4167.52894773513, 70.8080568944206, 174.82821832755, 101.920956520348
4423, 2764.0034779781, 1313.71441445888, 3763.21808313512, 4167.52894773513, 75.1723648822818, 191.661263328018, 101.920956520348
4424, 2858.39699082905, 1358.20207135335, 3763.21808313512, 4167.52894773513, 77.3724214973522, 200.020949987542, 101.920956520348
4425, 3092.60582596875, 1469.16872859173, 3763.21808313512, 4167.52894773513, 83.061265711277, 221.875084075197, 101.920956520348
4426, 3341.94372408775, 1588.0199360488, 3763.21808313512, 4167.52894773513, 89.6412809200573, 247.099069761562, 101.920956520348
4427, 3513.16965901525, 1670.09493931282, 3763.21808313512, 4167.52894773513, 94.4885661042617, 265.612418864341, 101.920956520348
4428, 3540.92466688491, 1683.45224595842, 3763.21808313512, 4167.52894773513, 95.3233505889942, 268.739066099903, 101.920956520348
4429, 3359.78776057811, 1596.58465416168, 3763.21808313512, 4167.52894773513, 90.1916888518127, 249.062728845502, 101.920956520348
4430, 3367.93903024376, 1600.46811683248, 3763.21808313512, 4167.52894773513, 90.4050873371432, 249.911422222776, 101.920956520348
4431, 3185.82755853111, 1513.51765023913, 3763.21808313512, 4167.52894773513, 85.4962587900298, 231.123883427618, 101.920956520348
4432, 3273.89123384421, 1555.50691535915, 3763.21808313512, 4167.52894773513, 87.8228162027528, 240.060840010901, 101.920956520348
4433, 3159.20664213788, 1500.8532752647, 3763.21808313512, 4167.52894773513, 84.773235126626, 228.429261032388, 101.920956520348
4434, 3581.11243937217, 1702.75333273579, 3763.21808313512, 4167.52894773513, 96.3903578433148, 273.107565098607, 101.920956520348
4435, 3881.4136462012, 1847.86341310268, 3881.4136462012, 4298.83368908363, 105.665897601431, 308.529424418084, 105.665897601431
4436, 4017.1956491173, 1913.90821225018, 4017.1956491173, 4449.82084225935, 110.133880962544, 325.539230576029, 110.133880962544
4437, 4079.1814231344, 1944.1263611414, 4079.1814231344, 4518.77731150028, 112.257603821255, 333.543044428015, 112.257603821255
4438, 4186.2517012254, 1996.40477043482, 4186.2517012254, 4637.92359935214, 115.939430729334, 347.580333270177, 115.939430729334
4439, 4024.55050506749, 1917.58532437255, 4186.2517012254, 4637.92359935214, 110.436327067098, 326.557241743105, 115.939430729334
